Gm#,Date,Team,Location,Opponent,W/L,W/L_Differential,R,RA,Streak
125,"Sunday, Aug 22",LAD,,Mets,L,-5,2,7,-
126,"Tuesday, Aug 24",LAD,@,Padres,W,3,5,2,+
127,"Wednesday, Aug 25",LAD,@,Padres,W,2,5,3,++
128,"Thursday, Aug 26",LAD,@,Padres,W,4,4,0,+++
129,"Friday, Aug 27",LAD,,Rockies,L,-2,2,4,-
130,"Saturday, Aug 28",LAD,,Rockies,W,3,5,2,+
131,"Sunday, Aug 29",LAD,,Rockies,L,-5,0,5,-
132,"Monday, Aug 30",LAD,,Braves,W,2,5,3,+
133,"Tuesday, Aug 31",LAD,,Braves,W,1,3,2,++
134,"Wednesday, Sep 1",LAD,,Braves,W,1,4,3,+++
135,Friday Sep 3,LAD,@,Giants,L,2,3,-1,-
136,Saturday Sep 4,LAD,@,SFG,W,6,1,+
137,Sunday Sep 5,LAD,@,SFG,L,4,6,-
138,Monday Sep 6,LAD,@,STL,W,5,1,+
139,Tuesday Sep 7,LAD,@,STL,W,7,2,++
140,Wednesday Sep 8,LAD,@,STL,L,4,5,-
141,Thursday Sep 9,LAD,@,STL,L,1,2,--
142,Friday Sep 10,LAD,,SDP,W,3,0,+
143,Saturday Sep 11,LAD,,SDP,W,5,4,++
144,Sunday Sep 12,LAD,,SDP,W,8,0,+++
145,Monday Sep 13,LAD,,ARI,W,5,1,++++
146,Tuesday Sep 14,LAD,,ARI,W,8,4,+++++
147,Wednesday Sep 15,LAD,,ARI,W,5,3,++++++
148,Friday Sep 17,LAD,@,CIN,L,1,3,-
149,Saturday Sep 18,LAD,@,CIN,W,5,1,+
150,Sunday Sep 19,LAD,@,CIN,W,8,5,++
151,Tuesday Sep 21,LAD,@,COL,W,5,4,+++
152,Wednesday Sep 22,LAD,@,COL,L,5,10,-
153,Thursday Sep 23,LAD,@,COL,W,7,5,+
154,Friday Sep 24,LAD,@,ARI,W,4,2,++
155,Saturday Sep 25,LAD,@,ARI,L,2,7,-
156,Sunday Sep 26,LAD,@,ARI,W,3,0,+
157,Tuesday Sep 28,LAD,,SDP,W,2,1,++
158,Wednesday Sep 29,LAD,,SDP,W,11,9,+++
159,Thursday Sep 30,LAD,,SDP,W,8,3,++++
160,Friday Oct 1,LAD,,MIL,W,8,6,+++++
161,Saturday Oct 2,LAD,,MIL,W,8,3,++++++
162,Sunday Oct 3,LAD,,MIL,W,10,3,+++++++
